PubChem ID,Name,Canonical SMILES
CHEMBL215803,CHEMBL215803,CC1CC2CN1CCN3C(=O)C4=C(N3)C(=CC=C4)C5=NC6=C(C=CC=C6O2)NC5=O
CHEMBL2205426,CHEMBL2205426,CC(C)(C)NC1=C(C(=O)C1=O)NC2=NC(=NC=C2)NC3=CC=C(C=C3)C4=CC=NC=C4
CHEMBL223367,CHEMBL223367,C1CCOC2=C(C=C(C(=C2)CCCO)Cl)NC(=O)NC3=CN=C(C(=N3)OCC1)C#N
CHEMBL223460,CHEMBL223460,CS(=O)(=O)NC1=C(C=C2C(=C1)OCCCCCOC3=NC(=CN=C3C#N)NC(=O)N2)Cl
CHEMBL2312290,CHEMBL2312290,COC1=C(C=C(C=C1)CCNC2=NC=C(C(=N2)NC3CCCC3)C(=O)NCCCN4CCCC4=O)OC
CHEMBL2312301,CHEMBL2312301,COC1=CC=CC=C1CNC2=NC=C(C(=N2)NC3CCCC3)C(=O)NCCCN4CCCC4=O
CHEMBL2312303,CHEMBL2312303,C1CCC(C1)NC2=NC(=NC=C2C(=O)NCCCN3CCCC3=O)NCC4=C(C=CC(=C4)Cl)Cl
CHEMBL2312304,CHEMBL2312304,C1CCC(C1)NC2=NC(=NC=C2C(=O)NCCCN3CCOC3=O)NCC4=C(C=CC(=C4)Cl)Cl
CHEMBL2333365,CHEMBL2333365,CC1=C(C=CC(=C1F)S(=O)(=O)C)C(=O)N2CCOC3=C(C2)C=C(C=C3)C4=CN=C(C=C4)N
CHEMBL235157,CHEMBL235157,CC1=C(C=CC2=C3C4=CC(=C(C=C4N=CC3=C(N=C12)N)OC)OC)N
CHEMBL242753,CHEMBL242753,C1C2=C(C=CC(=C2)C(=O)NCC3=CC=NC=C3)C4=C1C(=C5C=CC(=C6C=CC(=O)C=C6)C=C5)NN4
CHEMBL248757,CHEMBL248757,C1CCOC2=NC(=CN=C2C#N)NC(=O)NC3=CC(=C(C=C3OC1)NCC4=CN=CS4)Cl
CHEMBL281957,CHEMBL281957,CCN(CC)CC=CC1=C(C2=C(C3=C(C=C2)N=C(N3C)NC4=C(C=CC=C4Cl)Cl)C(=O)N1)C
CHEMBL373598,CHEMBL373598,C1CCOC2=CC(=C(C=C2NC(=O)NC3=CN=C(C(=N3)OCC1)C#N)Cl)OCCCO
CHEMBL376967,CHEMBL376967,CC(C(=O)N)N(CCN(C)C)CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC
CHEMBL377383,CHEMBL377383,CCOC1=C(C(=CC(=N1)C(=O)NCC2=CC=C(C=C2)S(=O)(=O)C)N)Cl
CHEMBL377772,CHEMBL377772,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=CC=C3)Cl)F)CN4CCCC4CC(=O)N
CHEMBL378370,CHEMBL378370,CN(CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC)C4CCNC4=O
CHEMBL378627,CHEMBL378627,CC(C)OC1=C(C(=CC(=N1)NC(=O)CC2=CC(=C(C=C2OC)S(=O)(=O)C)OC)N)C#N
CHEMBL379601,CHEMBL379601,CN(CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC)CC(=O)N
CHEMBL379905,CHEMBL379905,CN(CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC)C(COC)C(=O)N
CHEMBL379929,CHEMBL379929,CC(C)C1=NN=C2N1C=C(C=C2)C3=C(N=CO3)C4=CC=CC=C4
CHEMBL380006,CHEMBL380006,CC(C(=O)N(C)C)N(C)CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC
CHEMBL380386,CHEMBL380386,CC(C(=O)N)NCC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC
CHEMBL380454,CHEMBL380454,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=CC=C3)Cl)F)CN4CCC(C4)C(=O)N
CHEMBL380889,CHEMBL380889,CN(C)CC(C(=O)N)N(C)CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC
CHEMBL382638,CHEMBL382638,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)CN4CCCC4C(=O)N
CHEMBL382822,CHEMBL382822,CN(C)C(=O)C1CCCN1CC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC
CHEMBL382823,CHEMBL382823,CC(C(=O)N)N(CCOC)CC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C(=CC=C3)Cl)F)OC
CHEMBL383246,CHEMBL383246,CC(C)N1CCC(CC1)(C(=O)N)N(C)CC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC
CHEMBL383760,CHEMBL383760,CNC(=O)C1CCCN1CC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC
CHEMBL389745,CHEMBL389745,CC(C)(C1=CC2=C(C=C1)NC3=C(C=CC(=C3)C4=CC(=C(C=C4)N)OC)C(=O)N2)C(=O)NC5=CC=C(C=C5)N6CCOCC6
CHEMBL395080,CHEMBL395080,COC1=C(C=CC(=C1)C2=CC3=C(C=C2)C(=O)NC4=C(N3)C=CC(=C4)CC(=O)NC5=CC=C(C=C5)N6CCOCC6)N
CHEMBL398606,CHEMBL398606,CC(C)NCC1=CC=C(C=C1)NC2=CC(=C3C=CC(=C4C=CC(=O)C=C4O)C=C3)NN2
CHEMBL425601,CHEMBL425601,CC(C)N1CC(C1)(C(=O)N)N(C)CC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC
CHEMBL437885,CHEMBL437885,COC1=C(C=C2C(=C1)N=CN=C2NC3=C(C(=CC=C3)Cl)F)CN4CCCC4
CHEMBL438485,CHEMBL438485,C1CC(CCC1NC(=O)C2=CC3=C(C=C2)C4=C(C3)C(=C5C=CC(=C6C=CC(=O)C=C6)C=C5)NN4)O
CHEMBL478649,CHEMBL478649,CC1=C(C=C(C=C1)C(=O)NC2CC2)C3=CC=C(C=C3)C(=O)NCC4CC4
CHEMBL485285,CHEMBL485285,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)N3CCOCC3)C4=CC5=C(C=C4)C(=NO5)C6CCNCC6
CHEMBL485286,CHEMBL485286,CC1=C(C=C(C=C1)NC(=O)C2=CC(=NC=C2)N3CCCC3)C4=CC5=C(C=C4)C(=NO5)C6CCNCC6
CHEMBL495729,CHEMBL495729,CC1=C(C=C(C=C1)NC(=O)C2=CC(=NC=C2)N3CCCC3)C4=C(C=C(C=C4)C5=NN=C(O5)C)C
CHEMBL497563,CHEMBL497563,CC1=C(C=C(C=C1)C(=O)NC2CC2)C3=CC4=C(C=C3)C(=NO4)C5CCNCC5
CHEMBL522579,CHEMBL522579,CC1=C(C=C(C=C1)C(=O)NC2CC2)C3=C(C=C(C=C3)C4=NN=C(O4)C)C
CHEMBL523559,CHEMBL523559,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)N3CCOCC3)C4=C(C=C(C=C4)C5=NN=C(O5)C)C
CHEMBL583042,CHEMBL583042,CC1=CN=C(N=C1C2=CNC(=C2)C(=O)NC(CO)C3=CC(=CC=C3)Cl)NC4=C(C=C(C=C4)F)Cl
CHEMBL590109,CHEMBL590109,C1=CC=C2C(=C1)C=C(S2)C3=C4C(=CC(=C3)C5=CN(C6=CN=C(N=C65)N)CCN)C=NN4
CHEMBL606964,CHEMBL606964,COC1=CC=C(C=C1)N2CC3=CN=C(N=C3N(C2=O)C4CCC(C4)O)NC5=CC=C(C=C5)F
CHEMBL1082440,CHEMBL1082440,CC1CNCCCN1S(=O)(=O)C2=CC=CC3=CN=CC(=C32)C
CHEMBL1084546,CHEMBL1084546,CN(C1=C(C=CC=N1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C
CHEMBL1090356,CHEMBL1090356,C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=C(N=C5N4C=CS5)C6=CC(=CC=C6)NC(=O)CC7=CC=CC=C7
CHEMBL1094408,CHEMBL1094408,CN1CCN(CC1)C2=CC(=C(C=C2)OC)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C
CHEMBL115220,CHEMBL115220,C1CC1C2=CC(=NN2)NC(=O)CC3=CC4=CC=CC=C4C=C3
CHEMBL116070,CHEMBL116070,C1=CC(=CC=C1OC2=CN=CC3=C2C=C(S3)C(=O)N)Br
CHEMBL1164265,CHEMBL1164265,CN1CCN(CC1)C2=NC=C(C=C2)C3=CC4=C(NCCN4CC5=C(C=CC(=C5Cl)F)F)N=C3
CHEMBL117697,CHEMBL117697,COC1=CC=CC(=C1)NC2=NC=NC3=CC=CC=C32
CHEMBL1190711,CHEMBL1190711,COC1=C(C=C(C=C1)C2=CC3=NC=CN3C(=N2)NC4=C(C=CC=N4)C(=O)N)OC
CHEMBL1230122,CHEMBL1230122,CN1C2=NC(=NC=C2C=C(C1=O)OC3=C(C=C(C=C3)F)F)NC4CCOCC4
CHEMBL1230607,CHEMBL1230607,CC(C)CC(=O)NC1=NNC2=C1CN(C2(C)C)C(=O)C3CCN(CC3)C
CHEMBL1236126,CHEMBL1236126,CC(C)(C)C(=O)OC1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=CC(=CC=C3)[N+](=O)[O-])CCCO
CHEMBL1241473,CHEMBL1241473,COC1=CC(=CC(=C1OC)OC)NC2=NC=C(C(=N2)NC3=CC=CC=C3C(=O)N)[N+](=O)[O-]
CHEMBL1242373,CHEMBL1242373,CC1=CC(=CC=C1)NC(=O)NC2=CC3=C(C=C2)C4=C(CC3)SC5=NC=NC(=C45)N
CHEMBL1258913,CHEMBL1258913,C1CCN(C1)CC(C2=CC=CC=C2)NC(=O)C3=CC4=C(S3)C(=NN4)NC(=O)C5=CC=C(C=C5)N6CCOCC6
CHEMBL1270230,CHEMBL1270230,C1=CC=C(C=C1)C2=C(C=C(N2)C3=NC(=NC=C3)N)C(=O)N
CHEMBL1375418,CHEMBL1375418,CC1=CC=C(C=C1)CNC2=NN3C(=NN=C3C4=CC=CC=C4)C=C2
CHEMBL1375640,CHEMBL1375640,CC1=C(SC(=N1)COC2=CC=CC=C2Cl)C3=NC(=NC=C3)N
CHEMBL1516890,CHEMBL1516890,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O
CHEMBL1614705,CHEMBL1614705,C1CN(CCC1C2=C(C(=NN2)C3=C(C=C(C=C3)Cl)F)C4=NC=NC=C4)C(=O)CO
CHEMBL1624529,CHEMBL1624529,C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F
CHEMBL1682341,CHEMBL1682341,C1=CC=C(C=C1)CC2=CN(N=N2)C3=CC4=C(C=C3)NN=C4
CHEMBL1682346,CHEMBL1682346,C1=CC=C(C=C1)CN2C=C(N=N2)C3=CC4=C(C=C3)NN=C4N
CHEMBL1682358,CHEMBL1682358,C1=CC=C(C=C1)CC2=NOC(=C2)C3=CC4=C(C=C3)NN=C4N
CHEMBL1682540,CHEMBL1682540,C1=CN2C=C(N=C2N=C1)C3=CC4=C(C=C3)NN=C4
CHEMBL1682545,CHEMBL1682545,C1=CC=C(C=C1)NC2=NC(=CS2)C3=CC4=C(C=C3)NN=C4
CHEMBL1682546,CHEMBL1682546,C1=CC=C(C=C1)CNC2=NC(=CS2)C3=CC4=C(C=C3)NN=C4
CHEMBL1682552,CHEMBL1682552,C1CCC(CC1)NC2=C(N=C3N2C=CC=N3)C4=CC5=C(C=C4)NN=C5
CHEMBL1682553,CHEMBL1682553,CC(C)NC1=C(N=C2N1C=CC=N2)C3=CC4=C(C=C3)NN=C4
CHEMBL1682554,CHEMBL1682554,CCCCNC1=C(N=C2N1C=CC=N2)C3=CC4=C(C=C3)NN=C4
CHEMBL1682558,CHEMBL1682558,C1COCCN1CCN2C=NC(=C2C3=CC4=C(C=C3)NN=C4)C5=CC=C(C=C5)F
CHEMBL17370,CHEMBL17370,CSC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F
CHEMBL1738758,CHEMBL1738758,CN1CCN(CC1)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)CCO
CHEMBL1825138,CHEMBL1825138,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
CHEMBL183844,CHEMBL183844,CC1=CC(=CC=C1)NC(=O)NC2=C(C=C(C=C2)C3=C4CNC(=O)C4=CC=C3)C
CHEMBL184847,CHEMBL184847,CC1=C(C=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=C4CNC(=O)C4=CC=C3)C
CHEMBL185569,CHEMBL185569,CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=C4CNC(=O)C4=CC=C3
CHEMBL1933576,CHEMBL1933576,CN1CCN(CC1)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=CC(=N3)C4=CC(=CN4C)C(=O)N
CHEMBL1933582,CHEMBL1933582,CN1CCN(CC1)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=CC(=N3)C4=CC5=C(N4C)CCNC5=O
CHEMBL1958401,CHEMBL1958401,C1CCC(CC1)NC2=NC(=O)C=C(N2)C3=CC=NC=C3
CHEMBL196363,CHEMBL196363,CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=NC=NC(=C34)N
CHEMBL1964290,CHEMBL1964290,CC1=CC=CC(=C1C)C2=C(C=C(N2)C3=NC(=NC=C3)N)C(=O)N
CHEMBL1964413,CHEMBL1964413,C1=CC2=C(C=C1C3=CN(N=N3)CC4=C(C=C(C=C4)C(F)(F)F)C(F)(F)F)C=NN2
CHEMBL1964444,CHEMBL1964444,CC1=CC2=C(C=CN=C2C=C1)NC(=O)NC3=CC=CC(=N3)C(F)(F)F
CHEMBL1964644,CHEMBL1964644,C1=CC=C(C=C1)CNC(=O)NC2=NC=C(S2)[N+](=O)[O-]
CHEMBL1964687,CHEMBL1964687,CC1=CC(=CC(=C1)NC(=O)NC2=CC3=C(C=C2)C4=C(CC3)SC5=NC=NC(=C45)N)C
CHEMBL1964692,CHEMBL1964692,CN1C2=C(C(=CN=C2)C3=CC=C(C=C3)NC(=O)NC4=CC=CC(=C4)C(F)(F)F)C(=N1)N
CHEMBL1964777,CHEMBL1964777,C1=CC(=CC(=C1)F)OC2=CN=CC3=C2C=C(S3)C(=O)N
CHEMBL1964804,CHEMBL1964804,CS(=O)(=O)NCCOC1=CN=CC(=C1)C2=CC3=C(C=C2)C=NC=C3
CHEMBL1964937,CHEMBL1964937,C1CN(CC=C1C2=CNC3=C2C=CC=N3)C(=O)NC(CO)C4=CC=CC=C4
CHEMBL1965131,CHEMBL1965131,CC1=CC=C(C=C1)C(=O)NC2=C(SC3=C2C(=C(C=C3)Cl)Cl)C(=O)N
CHEMBL1965423,CHEMBL1965423,CC(C)CN1C2=C(C=CC(=C2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)F)N=C1N
CHEMBL1965507,CHEMBL1965507,CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)NC(=O)C3=CSC4=NC=NC(=C34)N
CHEMBL1965570,CHEMBL1965570,C1=CC=C(C(=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=COC=C5)N)F
CHEMBL1965589,CHEMBL1965589,CC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC4(CC4)O)C5=C(C=C(C=C5)F)F
CHEMBL1965631,CHEMBL1965631,CN(C)CC(=O)NC1=NNC2=C1C=C(C=C2)C3=CN(N=N3)CC4=CC=CC=C4
CHEMBL1965660,CHEMBL1965660,C1=CC(=C(C=C1Cl)Cl)C2=C(C=C(N2)C3=NC(=NC=C3)N)C(=O)N
CHEMBL1965702,CHEMBL1965702,CN(C)C1CCCC(C1)NC2=NC(=CC(=N2)Cl)C3=CNC4=C3C=CC=N4
CHEMBL1965836,CHEMBL1965836,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CC(=CC=C4)OC(F)(F)F)N
CHEMBL1965845,CHEMBL1965845,CC(C1=CC(=CC=C1)OC)NC(=O)N2CCC(=CC2)C3=CNC4=C3C=CC=N4
CHEMBL1965988,CHEMBL1965988,CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C#CCN)N
CHEMBL1966040,CHEMBL1966040,C1=CC(=CC(=C1)C(F)(F)F)CNC2=NC=NC(=C2)C3=CNC4=C3C=CC=N4
CHEMBL1966204,CHEMBL1966204,C1=CC=C(C=C1)CN2C=C(N=N2)C3=CC4=C(C=C3)NN=C4NC(=O)C5=CC=C(C=C5)F
CHEMBL1966279,CHEMBL1966279,C1=CC=C2C(=C1)C(=NNC2=O)C3=CC=C(C=C3)NC(=O)C4=CC(=CC=C4)S(=O)(=O)NCCCN
CHEMBL1966343,CHEMBL1966343,CC(C)CC1=NOC(=C1)C2=CC3=C(C=C2)NN=C3N
CHEMBL1966514,CHEMBL1966514,C1=CC(=CC(=C1)F)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=COC=C5)N
CHEMBL1966628,CHEMBL1966628,C1CC(CCC1N)NC2=NC=CC(=N2)C3=CNC4=C3C=CC=N4
CHEMBL1966703,CHEMBL1966703,CC1=C2C(C3=C(CC(CC3=O)(C)C)N=C2NN1)C4=CC=CC=C4F
CHEMBL1966722,CHEMBL1966722,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)NNC(=S)NC3=CC=C(C=C3)Cl)O
CHEMBL1966808,CHEMBL1966808,C1CCC2=C(C1)C3=C4N=C(NN4C(=O)N=C3S2)C5=CC=NC=C5
CHEMBL1966816,CHEMBL1966816,C1=CC2=C(C=CN=C2C(=C1)F)NC(=O)NC3=CC=CC(=N3)C(F)(F)F
CHEMBL1967094,CHEMBL1967094,C1=CC=C(C=C1)C2=C3C=C(SC3=NN2)C(=O)NCC4=CC=C(C=C4)Cl
CHEMBL1967116,CHEMBL1967116,CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)C)N
CHEMBL1967302,CHEMBL1967302,C1C2=C(C=CC(=C2)C3=CC(=CN=C3)OCC(CC4=CNC5=CC=CC=C54)N)NC1=O
CHEMBL1967531,CHEMBL1967531,C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=NC=NC(=C34)N
CHEMBL1967544,CHEMBL1967544,CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)N(CCN)C3=CN=CC(=C3)C4=CC5=C(C=C4)C=NC=C5
CHEMBL1967560,CHEMBL1967560,CCN1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C
CHEMBL1967564,CHEMBL1967564,CCCC(=O)NC1=NNC2=NC3=CC=CC=C3C=C21
CHEMBL1967720,CHEMBL1967720,CC(C)(C(=O)N)N1C=C(C=N1)C2=CN=C(C3=C2SC=C3C4=CC=C(C=C4)NC(=O)NC5=CC(=CC=C5)F)N
CHEMBL1967878,CHEMBL1967878,CC1=C(C=CC(=C1)NC2=NC=C(C(=N2)NC3C4CC(C3C(=O)N)C=C4)F)N5CCN(CC5)C
CHEMBL1967887,CHEMBL1967887,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCCN
CHEMBL1968127,CHEMBL1968127,CC(C)(CNC1=NC=CC(=N1)C2=C(N=C3N2C=CO3)C4=CC=C(C=C4)F)CN(C)C
CHEMBL1968151,CHEMBL1968151,C1=CN=CC=C1C2=NC3=C4C=CSC4=NC(=O)N3N2
CHEMBL1968380,CHEMBL1968380,CCC1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C
CHEMBL1968406,CHEMBL1968406,CCC1=CC(=CC=C1)NC(=O)NC2=CC3=C(C=C2)C4=C(CC3)SC5=NC=NC(=C45)N
CHEMBL1968459,CHEMBL1968459,CCCCNC1=NC=NC(=C1)C2=CNC3=C2C=CC=N3
CHEMBL1968590,CHEMBL1968590,CC1=NC2=C(S1)C=CC(=C2)C3=CSC4=C3C(=NC=C4C=CC(=O)NC)N
CHEMBL1968705,CHEMBL1968705,CCCC(=O)NC1=CC=CC(=C1)C2=NC3=C(C=C(C=C3)OCCN4CCCC4)C(=N2)NC5=CC6=C(C=C5)NN=C6
CHEMBL1968791,CHEMBL1968791,CC1=C(C2=C(N1C3CC(C3)CN4CCCC4)N=CN=C2N)C5=CC(=CC=C5)OCC6=CC=CC=C6
CHEMBL1968930,CHEMBL1968930,CC(C)(CN)CNC1=NC(=CC(=N1)Cl)C2=CNC3=C2C=CC=N3
CHEMBL1969042,CHEMBL1969042,C1=CC(=O)C=CC1=C2C(=C(NN2)NC3=CC=C(C=C3)O)C4=CC=C(C=C4)O
CHEMBL1969049,CHEMBL1969049,CC1=C(C=CC(=C1)C(=O)NC(C)C2=CC(=CC=C2)OC)C3=CC=NC=C3
CHEMBL1969126,CHEMBL1969126,CC(C)N1C2=C(C=CC(=C2)C3=C(N=C4N3C=CO4)C5=C(C=C(C=C5)F)F)N=N1
